fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
142,3,2025-12-14,"Kevin Vallejos",Loss,KO/TKO,2,1:29,"UFC Fight Night: Royval vs. Kape","2026-03-04 19:05:14"
141,2,2025-12-07,"Peter Yan",Loss,Decision,5,5:00,"UFC 323: Dvalishvili vs. Yan 2","2026-03-04 19:05:14"
140,5,2025-11-22,"Bekzat Almakhan",Win,Decision,3,5:00,"UFC Fight Night: Tsarukyan vs. Hooker","2026-03-04 19:05:14"
139,2,2025-10-05,"Cory Sandhagen",Win,Decision,5,5:00,"UFC 320: Ankalaev vs. Pereira 2","2026-03-04 19:05:14"
62,4,2025-08-10,"Anthony Hernandez",Loss,Submission,4,2:45,"UFC Fight Night: Dolidze vs. Hernandez","2025-08-19 11:23:19"
1,1,2025-06-29,"Charles Oliveira",Win,KO/TKO,1,2:27,"UFC 317: Topuria vs. Oliveira","2025-08-19 11:09:30"
18,2,2025-06-08,"Sean O'Malley",Win,Submission,3,4:42,"UFC 316: Dvalishvili vs. O'Malley 2","2025-08-19 11:14:29"
42,3,2025-04-27,"David Onama",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Machado Garry vs. Prates","2025-08-19 11:23:16"
107,7,2025-03-22,"Kauê Fernandes",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Edwards vs. Brady","2025-08-19 11:23:27"
63,4,2025-03-16,"Marvin Vettori",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Vettori vs. Dolidze 2","2025-08-19 11:23:19"
81,5,2025-02-09,"Colby Thicknesse",Win,"Decision - Unanimous",3,5:00,"UFC 312: Du Plessis vs. Strickland 2","2025-08-19 11:23:22"
19,2,2025-01-19,"Umar Nurmagomedov",Win,"Decision - Unanimous",5,5:00,"UFC 311: Makhachev vs. Moicano","2025-08-19 11:14:29"
2,1,2024-10-26,"Max Holloway",Win,KO/TKO,3,1:34,"UFC 308: Topuria vs. Holloway","2025-08-19 11:09:30"
64,4,2024-10-06,"Kevin Holland",Win,KO/TKO,1,5:00,"UFC 307: Pereira vs. Rountree Jr.","2025-08-19 11:23:19"
20,2,2024-09-15,"Sean O'Malley",Win,"Decision - Unanimous",5,5:00,"UFC 306 – Riyadh Season Noche UFC: O'Malley vs. Dvalishvili","2025-08-19 11:14:29"
108,7,2024-08-03,"Jordan Vucenic",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Sandhagen vs. Nurmagomedov","2025-08-19 11:23:27"
43,3,2024-07-28,"Arnold Allen",Loss,"Decision - Unanimous",3,5:00,"UFC 304: Edwards vs. Muhammad 2","2025-08-19 11:23:16"
65,4,2024-06-30,"Anthony Smith",Win,"Decision - Unanimous",3,5:00,"UFC 303: Pereira vs. Procházka 2","2025-08-19 11:23:19"
3,1,2024-02-18,"Alexander Volkanovski",Win,KO/TKO,2,3:32,"UFC 298: Volkanovski vs. Topuria","2025-08-19 11:09:30"
21,2,2024-02-18,"Henry Cejudo",Win,"Decision - Unanimous",3,5:00,"UFC 298: Volkanovski vs. Topuria","2025-08-19 11:14:29"
66,4,2024-02-04,"Nassourdine Imavov",Loss,"Decision - Majority",5,5:00,"UFC Fight Night: Dolidze vs. Imavov","2025-08-19 11:23:19"
44,3,2023-08-26,"Alex Caceres",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Holloway vs. The Korean Zombie","2025-08-19 11:23:16"
109,7,2023-07-02,"Elves Brener",Loss,KO/TKO,3,3:17,"UFC Fight Night: Strickland vs. Magomedov","2025-08-19 11:23:27"
4,1,2023-06-24,"Josh Emmett",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Emmett vs. Topuria","2025-08-19 11:09:30"
82,5,2023-05-20,"Johan Segas",Win,KO/TKO,1,1:27,"WOW 9: Way of Warriors FC","2025-08-19 11:23:22"
67,4,2023-03-18,"Marvin Vettori",Loss,"Decision - Unanimous",3,5:00,"UFC 286: Edwards vs. Usman 3","2025-08-19 11:23:19"
22,2,2023-03-12,"Petr Yan",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Yan vs. Dvalishvili","2025-08-19 11:14:29"
5,1,2022-12-11,"Bryce Mitchell",Win,Submission,2,3:10,"UFC 282: Blachowicz vs. Ankalaev","2025-08-19 11:09:30"
68,4,2022-12-04,"Jack Hermansson",Win,KO/TKO,2,4:06,"UFC Fight Night: Thompson vs. Holland","2025-08-19 11:23:19"
69,4,2022-10-30,"Phil Hawes",Win,KO/TKO,1,4:09,"UFC Fight Night: Kattar vs. Allen","2025-08-19 11:23:19"
23,2,2022-08-21,"José Aldo",Win,"Decision - Unanimous",3,5:00,"UFC 278: Usman vs. Edwards 2","2025-08-19 11:14:29"
70,4,2022-06-19,"Kyle Daukaus",Win,KO/TKO,1,1:13,"UFC Fight Night: Kattar vs. Emmett","2025-08-19 11:23:19"
110,7,2022-06-19,"Damir Ismagulov",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Kattar vs. Emmett","2025-08-19 11:23:27"
125,8,2022-05-20,"Daria Zhelezniakova",Loss,"Decision - Unanimous",3,5:00,"Ares FC 6: Damiani vs. Tulshaev","2025-08-19 11:23:31"
6,1,2022-03-19,"Jai Herbert",Win,KO/TKO,2,1:07,"UFC Fight Night: Volkov vs. Aspinall","2025-08-19 11:09:30"
83,5,2022-03-12,"Alberto Ibanez",Win,KO/TKO,1,1:54,"WAR MMA 1: World Athlete Radical","2025-08-19 11:23:22"
45,3,2022-01-16,"Calvin Kattar",Loss,"Decision - Unanimous",5,5:00,"UFC Fight Night: Kattar vs. Chikadze","2025-08-19 11:23:16"
84,5,2021-12-08,"Lucas Tenorio",Win,KO/TKO,1,1:48,"HDH: Hombres de Honor 110","2025-08-19 11:23:22"
126,8,2021-11-13,"Cortney Casey",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Holloway vs. Rodriguez","2025-08-19 11:23:31"
24,2,2021-09-26,"Marlon Moraes",Win,KO/TKO,2,4:25,"UFC 266: Volkanovski vs. Ortega","2025-08-19 11:14:29"
46,3,2021-08-29,"Edson Barboza",Win,KO/TKO,3,1:44,"UFC Fight Night: Barboza vs. Chikadze","2025-08-19 11:23:16"
7,1,2021-07-11,"Ryan Hall",Win,KO/TKO,1,4:47,"UFC 264: Poirier vs. McGregor 3","2025-08-19 11:09:30"
71,4,2021-06-06,"Laureano Staropoli",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Rozenstruik vs. Sakai","2025-08-19 11:23:19"
25,2,2021-05-02,"Cody Stamann",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Reyes vs. Prochazka","2025-08-19 11:14:29"
47,3,2021-05-02,"Cub Swanson",Win,KO/TKO,1,1:03,"UFC Fight Night: Reyes vs. Prochazka","2025-08-19 11:23:16"
72,4,2021-03-21,"Trevin Giles",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Brunson vs. Holland","2025-08-19 11:23:19"
8,1,2020-12-06,"Damon Jackson",Win,KO/TKO,1,2:38,"UFC Fight Night: Hermansson vs. Vettori","2025-08-19 11:09:30"
73,4,2020-12-06,"John Allan",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Vettori","2025-08-19 11:23:19"
48,3,2020-11-08,"Jamey Simmons",Win,KO/TKO,1,3:51,"UFC Fight Night: Santos vs. Teixeira","2025-08-19 11:23:16"
127,8,2020-10-24,"Miranda Maverick",Loss,"TKO - Doctor's Stoppage",1,5:00,"UFC 254: Khabib vs. Gaethje","2025-08-19 11:23:31"
111,7,2020-10-18,"Mateusz Gamrot",Win,"Decision - Split",3,5:00,"UFC Fight Night: Ortega vs. The Korean Zombie","2025-08-19 11:23:27"
9,1,2020-10-11,"Youssef Zalal",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Moraes vs. Sandhagen","2025-08-19 11:09:30"
49,3,2020-10-11,"Omar Morales",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Moraes vs. Sandhagen","2025-08-19 11:23:16"
26,2,2020-08-16,"John Dodson",Win,"Decision - Unanimous",3,5:00,"UFC 252: Miocic vs. Cormier 3","2025-08-19 11:14:29"
74,4,2020-07-19,"Khadis Ibragimov",Win,KO/TKO,1,4:15,"UFC Fight Night: Figueiredo vs. Benavidez 2","2025-08-19 11:23:19"
128,8,2020-07-16,"Diana Belbita",Win,Submission,1,2:43,"UFC Fight Night: Kattar vs. Ige","2025-08-19 11:23:31"
27,2,2020-06-14,"Gustavo Lopez",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Eye vs. Calvillo","2025-08-19 11:14:29"
50,3,2020-05-17,"Irwin Rivera",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Overeem vs. Harris","2025-08-19 11:23:16"
51,3,2020-03-08,"Jamall Emmers",Win,"Decision - Split",3,5:00,"UFC 248: Adesanya vs. Romero","2025-08-19 11:23:16"
28,2,2020-02-16,"Casey Kenney",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Anderson vs. Blachowicz 2","2025-08-19 11:14:29"
10,1,2019-11-15,"Stephen Goncalves",Win,KO,1,3:42,"Brave CF 29","2025-08-19 11:09:30"
88,6,2019-11-15,"Attila Korkmaz",Win,"Decision - Unanimous",3,5:00,"ACA 101: Warsaw","2025-08-19 11:23:24"
112,7,2019-11-15,"Felipe Silva",Win,KO/TKO,1,0:44,"Brave CF 29","2025-08-19 11:23:27"
52,3,2019-09-28,"Brandon Davis",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Cannonier","2025-08-19 11:23:16"
11,1,2019-09-07,"Luis Gomez",Win,"Submission (Triangle Armbar)",1,1:15,"Brave CF 26","2025-08-19 11:09:30"
129,8,2019-09-07,"Sarah Moras",Loss,KO/TKO,3,2:26,"UFC 242: Khabib vs. Poirier","2025-08-19 11:23:31"
29,2,2019-05-05,"Brad Katona",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Iaquinta vs. Cowboy","2025-08-19 11:14:29"
53,3,2019-03-24,"Damien Manzanares",Win,KO/TKO,1,0:51,"Gladiator Challenge: MMA World Championships","2025-08-19 11:23:16"
75,4,2018-12-15,"Michal Pasternak",Win,KO/TKO,3,3:00,"WWFC 13: World Warriors Fighting Championship 13","2025-08-19 11:23:19"
