fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
107,7,2025-03-22,"Kauê Fernandes",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Edwards vs. Brady","2025-08-19 11:23:27"
108,7,2024-08-03,"Jordan Vucenic",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Sandhagen vs. Nurmagomedov","2025-08-19 11:23:27"
109,7,2023-07-02,"Elves Brener",Loss,KO/TKO,3,3:17,"UFC Fight Night: Strickland vs. Magomedov","2025-08-19 11:23:27"
110,7,2022-06-19,"Damir Ismagulov",Loss,"Decision - Split",3,5:00,"UFC Fight Night: Kattar vs. Emmett","2025-08-19 11:23:27"
111,7,2020-10-18,"Mateusz Gamrot",Win,"Decision - Split",3,5:00,"UFC Fight Night: Ortega vs. The Korean Zombie","2025-08-19 11:23:27"
112,7,2019-11-15,"Felipe Silva",Win,KO/TKO,1,0:44,"Brave CF 29","2025-08-19 11:23:27"
113,7,2018-12-01,"Guilherme Cadena",Win,KO/TKO,1,3:00,"Superior Challenge 18: Fitness Festivalen","2025-08-19 11:23:27"
114,7,2018-09-21,"Erick da Silva",Win,"Decision - Unanimous",3,5:00,"Brave CF 16","2025-08-19 11:23:27"
115,7,2018-05-19,"Nicholas Joannes",Win,KO/TKO,1,4:00,"Superior Challenge 17: Cirkus","2025-08-19 11:23:27"
116,7,2016-09-17,"Gocha Smoyan",Win,KO/TKO,2,3:23,"IRFA: International Ring Fight Arena 10","2025-08-19 11:23:27"
117,7,2016-06-04,"Arturo Chavez",Win,"Decision - Unanimous",3,5:00,"SFN: Scandinavian Fight Nights","2025-08-19 11:23:27"
118,7,2015-09-26,"Joachim Tollefsen",Win,"Decision - Unanimous",3,5:00,"IRFA: International Right Fight Arena 9","2025-08-19 11:23:27"
119,7,2015-06-20,"Zsolt Fenyes",Win,KO/TKO,3,2:30,"AFC: Austrian Fight Challenge 1","2025-08-19 11:23:27"
120,7,2015-03-06,"Pawel Kielek",Loss,"Submission (Kneebar)",1,1:15,"FEN 6: Showtime","2025-08-19 11:23:27"
121,7,2014-04-05,"Oliver Enkamp",Loss,"Unanimous Decision",3,5:00,"IRFA: International Ring Fight Arena 6","2025-08-19 11:23:27"
122,7,2013-03-23,"Jonathan Svensson",Win,KO/TKO,3,5:00,"HFC: Heroes Fighting","2025-08-19 11:23:27"
123,7,2013-02-09,"Erik Friberg",Win,KO/TKO,2,2:36,"FFC - Fight for Change 2","2025-08-19 11:23:27"
124,7,2010-05-15,"Dimitri Izoria",Win,"Submission (Armbar)",1,5:00,"M-1 Georgia 2010","2025-08-19 11:23:27"
