fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
125,8,2022-05-20,"Daria Zhelezniakova",Loss,"Decision - Unanimous",3,5:00,"Ares FC 6: Damiani vs. Tulshaev","2025-08-19 11:23:31"
126,8,2021-11-13,"Cortney Casey",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Holloway vs. Rodriguez","2025-08-19 11:23:31"
127,8,2020-10-24,"Miranda Maverick",Loss,"TKO - Doctor's Stoppage",1,5:00,"UFC 254: Khabib vs. Gaethje","2025-08-19 11:23:31"
128,8,2020-07-16,"Diana Belbita",Win,Submission,1,2:43,"UFC Fight Night: Kattar vs. Ige","2025-08-19 11:23:31"
129,8,2019-09-07,"Sarah Moras",Loss,KO/TKO,3,2:26,"UFC 242: Khabib vs. Poirier","2025-08-19 11:23:31"
130,8,2018-02-22,"Marina Mokhnatkina",Win,"Decision - Majority",5,5:00,"FNG: Fight Nights Global 83","2025-08-19 11:23:31"
131,8,2017-12-29,"Viktoriya Shalimova",Win,"Submission (Heel Hook)",1,0:28,"Emir Fighting Championship: EFC Selection 1","2025-08-19 11:23:31"
132,8,2017-07-29,"Karina Vasilenko",Win,"Submission (Armbar)",1,4:15,"FNG: Fight Nights Global 71","2025-08-19 11:23:31"
133,8,2016-12-15,"Tao Li",Win,"Submission (Armbar)",1,3:14,"Kunlun Fight: Kunlun Fight MMA 7","2025-08-19 11:23:31"
134,8,2016-11-06,"Valeria Pak",Win,"Submission (Armbar)",1,0:41,"Student League MMA: Ivanov vs. Karapetyan","2025-08-19 11:23:31"
135,8,2016-08-20,"Liang Na",Loss,"Submission (Rear Naked Choke)",2,1:46,"WLF: E.P.I.C.: Elevation Power in Cage 7","2025-08-19 11:23:31"
136,8,2016-01-16,"Zamzagul Fayzallanova",Loss,"Decision - Split",3,5:00,"Alash Pride: Atyrau the Beautiful","2025-08-19 11:23:31"
137,8,2015-10-03,"Tatyana Pevneva",Win,TKO,1,3:07,"OFS: Octagon Fighting Sensation 5","2025-08-19 11:23:31"
138,8,2015-09-27,"Ekaterina Golovatova",Win,"Submission (Armbar)",3,5:00,"Kumite Fight: Kumite Fight 4","2025-08-19 11:23:31"
