fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
62,4,2025-08-10,"Anthony Hernandez",Loss,Submission,4,2:45,"UFC Fight Night: Dolidze vs. Hernandez","2025-08-19 11:23:19"
63,4,2025-03-16,"Marvin Vettori",Win,"Decision - Unanimous",5,5:00,"UFC Fight Night: Vettori vs. Dolidze 2","2025-08-19 11:23:19"
64,4,2024-10-06,"Kevin Holland",Win,KO/TKO,1,5:00,"UFC 307: Pereira vs. Rountree Jr.","2025-08-19 11:23:19"
65,4,2024-06-30,"Anthony Smith",Win,"Decision - Unanimous",3,5:00,"UFC 303: Pereira vs. Procházka 2","2025-08-19 11:23:19"
66,4,2024-02-04,"Nassourdine Imavov",Loss,"Decision - Majority",5,5:00,"UFC Fight Night: Dolidze vs. Imavov","2025-08-19 11:23:19"
67,4,2023-03-18,"Marvin Vettori",Loss,"Decision - Unanimous",3,5:00,"UFC 286: Edwards vs. Usman 3","2025-08-19 11:23:19"
68,4,2022-12-04,"Jack Hermansson",Win,KO/TKO,2,4:06,"UFC Fight Night: Thompson vs. Holland","2025-08-19 11:23:19"
69,4,2022-10-30,"Phil Hawes",Win,KO/TKO,1,4:09,"UFC Fight Night: Kattar vs. Allen","2025-08-19 11:23:19"
70,4,2022-06-19,"Kyle Daukaus",Win,KO/TKO,1,1:13,"UFC Fight Night: Kattar vs. Emmett","2025-08-19 11:23:19"
71,4,2021-06-06,"Laureano Staropoli",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Rozenstruik vs. Sakai","2025-08-19 11:23:19"
72,4,2021-03-21,"Trevin Giles",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Brunson vs. Holland","2025-08-19 11:23:19"
73,4,2020-12-06,"John Allan",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Vettori","2025-08-19 11:23:19"
74,4,2020-07-19,"Khadis Ibragimov",Win,KO/TKO,1,4:15,"UFC Fight Night: Figueiredo vs. Benavidez 2","2025-08-19 11:23:19"
75,4,2018-12-15,"Michal Pasternak",Win,KO/TKO,3,3:00,"WWFC 13: World Warriors Fighting Championship 13","2025-08-19 11:23:19"
76,4,2018-06-16,"Eder de Souza",Win,KO/TKO,2,3:36,"WWFC 11: World Warriors Fighting Championship 11","2025-08-19 11:23:19"
77,4,2017-12-14,"Amirali Joroev",Win,KO/TKO,1,3:34,"WWFC: Cage Encounter 9","2025-08-19 11:23:19"
78,4,2017-06-14,"Ilyas Abdullaev",Win,"Submission (Rear Naked Choke)",1,1:21,"WWFC: Cage Encounter 7","2025-08-19 11:23:19"
79,4,2017-03-29,"Remi Delcampe",Win,"Submission (Heel Hook)",1,0:56,"WWFC: Cage Encounter 6","2025-08-19 11:23:19"
80,4,2016-12-09,"Alexander Kovbel",Win,"Submission (Heel Hook)",1,0:42,"RFP: West Fight 23","2025-08-19 11:23:19"
